
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 25C 4 (cropped)_03","ROIs 1","ROIs","Object","271.87","515","790","638.53","1.46e+08","29.35","360.6","926.98","634.54","1.45e+08","72.04","192","310","251.77","57485824","13.6","177.91","335.7","249.79","57034980","17.23","2086","2296","2197.2","33445778","26.72","2601","2902","2752.96","41905513","40.21","N/A","N/A"
"2","GTY029 25C 4 (cropped)_03","Whole cells prelim 1","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","688.56","688.56","688.56","688.56","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 25C 4 (cropped)_03","Whole cells prelim 2","Whole cells prelim","Object","105.57","N/A","N/A","N/A","N/A","N/A","0","3069.72","875.57","77629648","174.04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 25C 4 (cropped)_03","Whole cells prelim 3","Whole cells prelim","Object","0.00476","N/A","N/A","N/A","N/A","N/A","573.28","629.2","604.85","2419.39","20.22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 25C 4 (cropped)_03","Whole cells prelim 4","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","671.87","671.87","671.87","671.87","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 25C 4 (cropped)_03","Whole cells 1","Whole cells","Object","105.57","N/A","N/A","N/A","N/A","N/A","0","3069.72","875.57","77629648","174.04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6","N/A"
"7","GTY029 25C 4 (cropped)_03","Mito 1","Mito","Object","0.0131","647","796","716.18","7878","40.23","657.15","693.16","669.95","7369.46","10.23","269","363","306.18","3368","24.64","319.2","323.03","320.95","3530.49","1.17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 25C 4 (cropped)_03","Mito 2","Mito","Object","0.123","669","886","763.25","78615","40.5","661.57","807.98","723.32","74502.28","36.82","287","371","333.78","34379","18","319.18","363.45","335.34","34539.51","12.24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6"
"9","GTY029 25C 4 (cropped)_03","Mito 3","Mito","Object","0.0119","585","724","667.3","6673","38.26","626.76","685.57","657.33","6573.27","17.35","277","336","296.4","2964","17.15","320.83","331.19","325.15","3251.51","3.16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","GTY029 25C 4 (cropped)_03","Mito 4","Mito","Object","0.118","660","827","751.42","74391","30.3","645.13","802.59","727.44","72016.31","34.99","266","349","307.95","30487","16.45","319.29","336.22","325.88","32261.96","4.41","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6"
