
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment ROIs ID","Min (roGFP 470 (DCI: 30 its, roGFP 470))","Max (roGFP 470 (DCI: 30 its, roGFP 470))","Mean (roGFP 470 (DCI: 30 its, roGFP 470))","Sum (roGFP 470 (DCI: 30 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 30 its, roGFP 470))","Min (mCherry double (DCI: 30 its, mCherry double))","Max (mCherry double (DCI: 30 its, mCherry double))","Mean (mCherry double (DCI: 30 its, mCherry double))","Sum (mCherry double (DCI: 30 its, mCherry double))","Standard Deviation (mCherry double (DCI: 30 its, mCherry double))"
"ROIs 1","1","288","410","817","586.7","1.42e+08","50.15","219","1378","405.36","98046547","115.09","295.8","2016.03","585.19","1.42e+08","120.13","N/A","N/A","N/A","PSY106 clump 36C","ROIs","Object","1142","3249","2027.56","23353488","241.31","1446","4108","2588.27","29811678","309.91","4.58","15117.22","420.21","1.02e+08","605.33","9","N/A","367.12","1333.15","586.57","1.42e+08","88.93","96","8031.09","423.36","1.02e+08","437.68"
"Mito 2","3","0.233","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","611.62","965.87","775.48","151994.75","80.43","22.29","27.09","0.937","PSY106 clump 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mito 3","4","1.59","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","347.56","1832.18","867.88","1162096.25","288.07","18.73","24.1","2.37","PSY106 clump 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mito 8","9","0.0703","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","658.85","983.88","835.12","49272.1","72.92","20.23","29.61","1.81","PSY106 clump 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mito 9","10","0.177","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","590.45","1488.9","965.66","143884.08","217.63","20.7","30.25","1.94","PSY106 clump 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mito 21","22","0.467","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","504.99","1590.65","801.65","314248.66","219.9","19.7","25.68","3.08","PSY106 clump 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mito 22","23","0.566","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","407.22","1321.16","624.79","296775.94","143.01","20.68","27.17","3.15","PSY106 clump 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mito 23","24","0.751","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","488.28","2016.03","901.6","568908.88","291.9","22.39","30.57","2.28","PSY106 clump 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mito 31","32","0.941","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","470.65","1620.27","736.41","581765.56","178.62","21.7","29.06","3.9","PSY106 clump 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mito 32","33","0.251","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","465.43","831.27","654.16","138026.94","82.83","23.21","28.47","3.91","PSY106 clump 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
